IDDIST;PROVINCIA;DISTRITO;antiguedad;nro_banios;nro_pisos;nro_cocheras;nro_dormitorios;estado_de_inmueble;precio_soles;latitud;longitud;area_constr_m2;area_total_m2
150132;Lima;SanJuanDeLurigancho;3;4;3;2;4;;140000;-11.9244445;-76.6990172;145;135
150107;Lima;Chaclacayo;1;3;1;4;3;Muy bueno;450000;-11.94515174;-76.71048045;450;999
150118;Lima;Lurigancho;3;3;2;2;4;Bueno;295000;-11.94770259;-76.71649154;200;490
150118;Lima;Lurigancho;3;3;2;1;4;Muy bueno;300000;-11.9486075;-76.7166244;380;250
150118;Lima;Lurigancho;3;3;2;1;4;A Remodelar;280000;-11.94948122;-76.71986613;130;1287
150107;Lima;Chaclacayo;3;3;2;5;4;Excelente;490000;-11.956823;-76.723442;350;1250
150118;Lima;Lurigancho;4;2;2;4;4;Muy bueno;300000;-11.9577378;-76.7349147;200;490
150118;Lima;Lurigancho;3;4;3;1;4;;125000;-11.9577378;-76.7349147;269;269
150107;Lima;Chaclacayo;2;5;3;3;5+;Remodelado;520000;-11.9774953;-76.7435116;393;2148
150107;Lima;Chaclacayo;8;5;1;4;4;Muy bueno;1400000;-11.9789628;-76.7444736;600;4600
150107;Lima;Chaclacayo;8;5;1;4;4;Muy bueno;1400000;-11.9789628;-76.7444736;600;4600
150107;Lima;Chaclacayo;8;5;1;4;4;Muy bueno;1400000;-11.9789628;-76.7444736;600;4600
150107;Lima;Chaclacayo;1;3;2;5;3;Remodelado;600000;-11.97677859;-76.74776387;350;1050
150107;Lima;Chaclacayo;1;2;2;2;2;Excelente;149000;-11.9750193;-76.7482284;260;150
150107;Lima;Chaclacayo;2;4;2;3;4;Muy bueno;200000;-11.9745322;-76.7485349;300;228
150107;Lima;Chaclacayo;1;3;2;0;5+;Bueno;450000;-11.97083349;-76.75095919;159;492
150107;Lima;Chaclacayo;3;3;1;2;2;Excelente;250000;-11.9739064;-76.7558731;237;400
150109;Lima;Cieneguilla;1;4;2;0;5+;Muy bueno;1350000;-12.0948156;-76.7567368;360;2653
150114;Lima;LaMolina;3;5;2;4;5+;Excelente;800000;-12.0948156;-76.7567368;600;700
150107;Lima;Chaclacayo;1;5;2;3;4;Bueno;495000;-11.97484858;-76.76080013;870;500
150107;Lima;Chaclacayo;3;5;2;3;4;Excelente;495000;-11.9745292;-76.7609952;870;870
150109;Lima;Cieneguilla;3;5;2;5;5+;Bueno;199000;-12.07577152;-76.76211359;400;700
150107;Lima;Chaclacayo;6;4;2;2;5+;Bueno;915000;-11.976608;-76.765916;377;2493
150107;Lima;Chaclacayo;1;5;2;0;5+;Muy bueno;1150000;-11.97602;-76.767311;300;2650
150107;Lima;Chaclacayo;1;5;2;0;5+;Muy bueno;1150000;-11.9947642;-76.7682775;300;2650
150107;Lima;Chaclacayo;1;5;3;3;4;;495000;-11.9947642;-76.7682775;870;500
150107;Lima;Chaclacayo;4;3;2;5;4;;399000;-11.9947642;-76.7682775;300;800
150107;Lima;Chaclacayo;4;3;2;5;4;;399000;-11.9947642;-76.7682775;300;800
150107;Lima;Chaclacayo;4;3;1;1;4;Muy bueno;300000;-11.9947642;-76.7682775;200;500
150107;Lima;Chaclacayo;3;4;2;3;4;Excelente;285000;-11.9947642;-76.7682775;187;293
150107;Lima;Chaclacayo;3;5;2;0;4;;210000;-11.9947642;-76.7682775;190;235
150107;Lima;Chaclacayo;4;4;2;1;5+;Muy bueno;160000;-11.9947642;-76.7682775;218;218
150107;Lima;Chaclacayo;4;3;2;2;2;Bueno;130000;-11.9947642;-76.7682775;216;128
150107;Lima;Chaclacayo;5;4;2;5;5+;A Remodelar;800000;-11.9778674;-76.76834106;450;1050
150107;Lima;Chaclacayo;6;4;2;5;5+;Remodelado;1200000;-11.978581;-76.769028;505;2977
150107;Lima;Chaclacayo;1;2;2;3;3;Muy bueno;450000;-11.980436;-76.770186;200;800
150107;Lima;Chaclacayo;4;3;2;4;5+;Bueno;299000;-11.9786913;-76.7702151;350;638
150107;Lima;Chaclacayo;6;2;2;2;3;Bueno;299000;-11.97911607;-76.77180113;350;638
150107;Lima;Chaclacayo;9;3;1;2;3;;500000;-11.97798038;-76.77310886;197;653
150109;Lima;Cieneguilla;5;2;1;5;2;;260000;-12.09542406;-76.77338795;100;1250
150109;Lima;Cieneguilla;2;5;2;3;5+;Bueno;380000;-12.09521648;-76.77426417;500;1000
150109;Lima;Cieneguilla;1;3;2;2;4;;795000;-12.09819241;-76.77502005;437;1107
150107;Lima;Chaclacayo;2;2;2;1;4;A Remodelar;170000;-11.97484137;-76.78211092;125;200
150118;Lima;Lurigancho;3;5;2;2;5+;Remodelado;215000;-11.97176416;-76.78259133;300;200
150118;Lima;Lurigancho;3;5;3;5;5+;Excelente;480000;-11.97267323;-76.78324131;405;1000
150107;Lima;Chaclacayo;2;3;2;5;5+;Bueno;350000;-11.978781;-76.7832488;350;1115
150118;Lima;Lurigancho;8;5;2;1;5+;Excelente;199000;-11.97242398;-76.78365315;280;300
150118;Lima;Lurigancho;1;3;2;1;4;Bueno;220000;-11.9731736;-76.7840804;260;200
150107;Lima;Chaclacayo;1;1;1;0;2;Excelente;139000;-11.9731736;-76.7840804;85;200
150107;Lima;Chaclacayo;2;3;3;2;3;Bueno;255000;-11.9771767;-76.7848088;270;200
150118;Lima;Lurigancho;2;3;3;2;3;Bueno;255000;-11.9771767;-76.7848088;270;200
150107;Lima;Chaclacayo;3;3;3;0;4;;180000;-11.9793809;-76.7873491;295;185
150109;Lima;Cieneguilla;1;5;1;5;5+;Excelente;685000;-12.099012;-76.787797;280;1500
150109;Lima;Cieneguilla;3;5;1;5;5+;;650000;-12.099012;-76.787797;250;2506
150109;Lima;Cieneguilla;2;2;1;5;3;Muy bueno;930000;-12.1010065;-76.7943776;380;2800
150127;Lima;PuntaNegra;3;3;2;0;4;;160000;-12.36297387;-76.79626285;120;214
150107;Lima;Chaclacayo;3;5;4;0;5+;Excelente;275000;-11.9870971;-76.7978458;361;477
150118;Lima;Lurigancho;3;2;3;0;4;;120000;-11.97579175;-76.7978791;110;120
150109;Lima;Cieneguilla;5;5;2;4;5+;;690000;-12.1072004;-76.7992668;450;2700
150109;Lima;Cieneguilla;2;5;1;5;5+;;830000;-12.1072;-76.799271;600;3557
150109;Lima;Cieneguilla;1;4;2;5;4;Bueno;1850000;-12.1027151;-76.7993974;500;6000
150109;Lima;Cieneguilla;3;4;2;5;5+;Remodelado;1150000;-12.1084383;-76.8027935;360;2653
150109;Lima;Cieneguilla;2;5;1;5;3;Remodelado;890000;-12.1089733;-76.80507874;450;3574
150109;Lima;Cieneguilla;1;5;1;4;4;;950000;-12.1135823;-76.8060606;360;2653
150103;Lima;Ate;8;2;1;0;2;;72000;-12.03207945;-76.80708451;85;90
150127;Lima;PuntaNegra;3;5;2;3;5+;;110000;-12.3549014;-76.8075927;100;200
150107;Lima;Chaclacayo;3;3;2;2;4;;184000;-11.98583669;-76.80805133;240;200
150109;Lima;Cieneguilla;8;5;2;5;5+;Muy bueno;590000;-12.1092778;-76.8082845;550;2800
150107;Lima;Chaclacayo;3;5;3;1;5+;;157000;-11.9687994;-76.8085098;250;150
150109;Lima;Cieneguilla;1;1;1;4;2;Excelente;130000;-12.1389176;-76.8091834;125;481
150109;Lima;Cieneguilla;3;4;2;5;4;Bueno;410000;-12.133834;-76.809411;450;1054
150109;Lima;Cieneguilla;8;5;3;3;3;Bueno;395000;-12.1150514;-76.8096871;200;1198
150109;Lima;Cieneguilla;2;2;2;0;2;A Remodelar;120000;-12.1150514;-76.8096871;170;340
150109;Lima;Cieneguilla;3;4;1;3;4;Excelente;580000;-12.1153936;-76.817409;324;1081
150109;Lima;Cieneguilla;1;5;2;5;5+;;4300000;-12.1326497;-76.8191613;1750;3120
150109;Lima;Cieneguilla;3;5;2;0;5+;;1450000;-12.1326497;-76.8191613;700;5191
150109;Lima;Cieneguilla;3;5;2;5;5+;;1180000;-12.1326497;-76.8191613;500;7000
150109;Lima;Cieneguilla;4;5;2;5;5+;Muy bueno;900000;-12.1261984;-76.8194841;334;1320
150109;Lima;Cieneguilla;1;4;3;5;5+;Muy bueno;267000;-12.1261984;-76.8194841;545;545
150109;Lima;Cieneguilla;1;3;1;4;5+;Muy bueno;251000;-12.1261984;-76.8194841;300;503
150109;Lima;Cieneguilla;1;2;1;4;4;Muy bueno;243000;-12.1261984;-76.8194841;300;460
150103;Lima;Ate;1;2;2;0;1;;100000;-12.0102713;-76.8215702;120;164
150127;Lima;PuntaNegra;3;5;3;0;3;;140000;-12.338885;-76.8265771;500;500
150126;Lima;PuntaHermosa;1;5;3;4;5+;Muy bueno;450000;-12.33783786;-76.82757953;430;236
150119;Lima;Lurin;3;1;3;0;1;;110000;-12.2628169;-76.8310116;30;90
150119;Lima;Lurin;3;5;2;0;3;;70000;-12.2756321;-76.8353369;90;90
150103;Lima;Ate;3;5;2;0;5+;Excelente;190000;-12.0018295;-76.83837605;110;191
150103;Lima;Ate;1;3;2;0;3;;170000;-12.0092177;-76.8443475;90;120
150119;Lima;Lurin;3;5;2;5;5+;Excelente;780000;-12.2817954;-76.8468704;600;1225
